Субъект,Федеральный Округ,26.03,27.03,28.03,29.03,30.03,31.03,01.04,02.04,03.04,04.04,05.04,06.04,07.04,08.04,09.04,10.04,11.04,12.04,13.04,14.04,15.04,16.04,17.04,18.04,19.04,20.04,21.04,22.04,23.04,24.04,25.04,26.04,27.04,28.04,29.04,30.04,01.05,02.05,03.05,04.05,05.05,06.05,07.05,08.05,09.05,10.05,11.05,12.05,13.05,14.05,15.05,16.05,17.05,18.05,19.05,20.05,21.05,22.05,23.05,24.05,25.05,26.05,27.05,28.05,29.05,30.05,31.05,01.06,02.06,03.06,04.06,05.06,06.06,07.06,08.06,09.06,10.06,11.06,12.06,13.06,14.06,15.06,16.06,17.06,18.06,19.06,20.06,21.06,22.06,23.06,24.06,25.06,26.06,27.06,28.06,29.06,30.06,01.07,02.07,03.07,04.07,05.07,06.07,07.07,08.07,09.07,10.07,11.07,12.07,13.07,14.07,15.07,16.07,17.07,18.07
Республика Коми,Северо-Западный,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,7,7,7,11,11,14,14,15,15,16,16,16,17,17,17,18,18,19,19,19,19,19,20,21,22,23,23,24,24,24,25,25,25,26,26,26,27,27,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,30,30,30,30,33,33,34,35,35,35,35,35,35,35,35,36,36,38,39,39,40,40
Костромская Область,Центральный,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,7,8,8,8,8,8,9,9,9,10,10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,13,13,14,15,15,15,15,15,15,17,17,17,17,21,21,21,21,21,21,22,22,22,22,23,23,23,24,24,24,24,24
Краснодарский Край,Южный,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,4,5,8,8,11,14,16,18,19,19,19,20,20,20,20,20,21,21,21,21,21,21,22,22,22,22,24,24,24,25,26,26,26,26,26,27,27,28,28,29,29,31,31,32,33,36,38,40,41,42,43,44,46,47,47,49,50,52,52,53,55,57,57,60,63,65,67,69,70,71,73,74,74,76,78,79,81,81,82,82,83,83,83,83,85,87,88,88,89,92,93,94
Красноярский Край,Сибирский,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,5,5,5,7,7,8,9,9,11,11,12,12,12,12,13,14,15,15,15,15,16,18,18,18,20,21,22,25,28,28,28,28,29,29,35,39,39,39,40,43,46,49,49,49,49,50,53,59,64,64,64,65,66,71,75,79,86,86,86,93,99,99,107,115,115,115,120,137,137,146,164,164,164,172,181,195,212,225,232,232,234,235,251,256,259
Республика Крым,Южный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13
Курганская Область,Уральский,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3
Курская Область,Центральный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,9,9,10,10,10,13,13,13,13,15,15,15,16,16,17,19,19,20,20,22,22,22,23,23,25,26,26,27,28,30,30,31,32,32,32,34,36,37,37,39,39,39,41,43,43,45,45,46,46,48,48,48,49,49
Ленинградская Область,Северо-Западный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,4,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,9,11,11,11,11,11,11,11,15,15,15,17,18,18,18,19,23,23,23,23,23,23,24,25,25,25,25,27,27,27,27,27,27,28,30,30,32,32,32,34,34,34,34,34,35,36,36,37,37,39,40,42,42,46,46
Липецкая Область,Центральный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,7,8,8,8,8,8,8,8,8,9,9,9,10,10,11,11,11,11,12,12,12,13,13,14,14,15,16,16,16,17,17,18,18,18,18,19,19,19,19,19,19,19,19,19,19,20
Магаданская Область,Дальневосточный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6
