Субъект,Федеральный Округ,26.03,27.03,28.03,29.03,30.03,31.03,01.04,02.04,03.04,04.04,05.04,06.04,07.04,08.04,09.04,10.04,11.04,12.04,13.04,14.04,15.04,16.04,17.04,18.04,19.04,20.04,21.04,22.04,23.04,24.04,25.04,26.04,27.04,28.04,29.04,30.04,01.05,02.05,03.05,04.05,05.05,06.05,07.05,08.05,09.05,10.05,11.05,12.05,13.05,14.05,15.05,16.05,17.05,18.05,19.05,20.05,21.05,22.05,23.05,24.05,25.05,26.05,27.05,28.05,29.05,30.05,31.05,01.06,02.06,03.06,04.06,05.06,06.06,07.06,08.06,09.06,10.06,11.06,12.06
Калужская Область,Центральный,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,5,5,5,5,8,9,9,9,9,9,9,14,14,17,25,26,30,32,44,54,95,108,128,161,170,173,224,224,228,254,261,346,404,438,473,489,511,613,664,722,775,854,884,888,1018,1123,1237,1364,1469,1494,1506,1614,1732,1812,1954,2024,2097,2119,2240,2318,2392,2444
Камчатский Край,Дальневосточный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,4,5,5,5,5,5,6,14,17,19,22,30,36,40,44,44,50,50,50,51,61,69,69,111,114,125,131,134,143,153,159,171,244,244,244,244,244,244,257,259,267,269,286,289,298,301,306,310,314,374,402,413
Карачаево-Черкесская Республика,Северо-Кавказский,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,6,14,14,14,15,22,35,36,40,41,49,66,86,86,118,125,128,129,179,189,193,210,222,222,234,243,243,255,262,268,294,296,304,308,327,340,348,369,399,405,418,453,472,490,500,509
Республика Карелия,Северо-Западный,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,5,7,10,11,11,13,13,17,17,19,30,31,32,35,40,43,49,49,52,52,52,63,64,66,71,75,97,121,135,135,148,156,165,168,168,191,197,205,210,215,224,226,238,245,260,279
Кемеровская Область,Сибирский,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,5,6,6,6,11,11,11,11,11,11,12,12,12,18,19,19,22,22,25,26,28,50,61,72,79,80,86,92,99,106,116,118,118,126,127,128,142,148,148,162,170,189,198,228,240,240,259,261,261,270,298,316,322,332,339,351,373
Кировская Область,Приволжский,0,2,2,2,2,3,3,3,3,3,3,3,7,7,8,8,9,9,9,9,9,9,10,13,14,14,14,18,20,27,29,37,38,38,41,42,46,59,72,80,90,103,125,143,184,236,263,324,339,404,452,503,548,588,591,647,687,712,744,762,790,804,836,856,890,950,978,981,981,1013,1076,1115,1157,1186,1206,1218,1327,1424,1478
Республика Коми,Северо-Западный,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,10,21,21,21,23,28,28,52,52,52,63,64,64,91,107,111,129,129,144,194,214,219,252,287,330,360,387,413,415,418,425,446,484,513,541,556,568,592,625,644,667,685,704,704,748,801,816,855,875,885,890,911,939,960,1019
Костромская Область,Центральный,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,7,7,7,7,7,7,11,11,11,11,11,12,25,29,33,42,45,60,64,68,68,85,96,107,115,119,128,142,168,193,198,200,221,243,255,265,289,294,294,308,354,361,371,388,395,399,420,425,435,439,474,485,489,506,535,565,575
Краснодарский Край,Южный,0,0,0,1,1,2,3,4,4,4,4,8,9,15,15,15,25,25,28,32,40,40,48,49,54,59,70,72,88,104,118,122,125,132,208,251,277,319,372,409,443,467,523,554,595,622,662,697,741,858,979,1139,1261,1323,1361,1540,1644,1764,1859,1900,1973,2081,2257,2393,2521,2636,2711,2748,2842,2917,3006,3109,3235,3289,3311,3383,3500,3554,3617
Красноярский Край,Сибирский,3,3,3,3,3,4,4,4,4,4,4,5,5,6,8,8,8,8,8,17,17,17,17,17,17,17,17,28,48,48,51,59,59,64,64,64,124,146,153,157,162,162,203,220,253,284,285,375,425,458,500,531,542,543,565,614,634,659,697,708,710,755,791,834,864,887,894,1060,1259,1300,1363,1427,1488,1494,1570,1811,1970,2068,2129
